"geneChr_Nested"	"geneStart_Nested"	"geneEnd_Nested"	"ENST_Nested"	"SYMBOL_Nested"	"Strand_Nested"	"biotype_Nested"	"geneChr_Host"	"geneStart_Host"	"geneEnd_Host"	"ENST_Host"	"SYMBOL_Host"	"Strand_Host"	"biotype_Host"	"Overlap_size"	"Strandness"
"chr19"	46348200	46350302	"ENSMUST00000189008.2"	"2310034G01Rik"	"-"	"protein_coding"	"chr19"	46341120	46375252	"ENSMUST00000128041.7"	"Mfsd13a"	"+"	"protein_coding"	2102	"opposite"
"chr16"	93792135	93794901	"ENSMUST00000180967.2"	"2310043M15Rik"	"-"	"antisense"	"chr16"	93711903	93810588	"ENSMUST00000045004.10"	"Dop1b"	"+"	"protein_coding"	2766	"opposite"
"chr7"	83659574	83660963	"ENSMUST00000125131.1"	"2310044K18Rik"	"+"	"antisense"	"chr7"	83642824	83735523	"ENSMUST00000001792.11"	"Il16"	"-"	"protein_coding"	1389	"opposite"
"chr7"	131338219	131362759	"ENSMUST00000059438.10"	"2310057M21Rik"	"-"	"protein_coding"	"chr7"	130162450	133123350	"ENSMUST00000124096.7"	"Fgfr2"	"-"	"protein_coding"	24540	"same"
"chr15"	99972157	99973287	"ENSMUST00000188271.2"	"2310068J16Rik"	"-"	"antisense"	"chr15"	99970064	100014011	"ENSMUST00000057632.15"	"Larp4"	"+"	"protein_coding"	1130	"opposite"
"chr9"	112227578	112228242	"ENSMUST00000161216.1"	"2310075C17Rik"	"+"	"lincRNA"	"chr9"	112065257	112235018	"ENSMUST00000162097.7"	"Arpp21"	"-"	"protein_coding"	664	"opposite"
"chr16"	88626785	88627666	"ENSMUST00000052337.3"	"2310079G19Rik"	"-"	"protein_coding"	"chr16"	88608669	88638214	"ENSMUST00000232360.1"	"Gm49688"	"+"	"lincRNA"	881	"opposite"
"chr17"	69275361	69277208	"ENSMUST00000187090.1"	"2410021H03Rik"	"-"	"antisense"	"chr17"	69126999	69289989	"ENSMUST00000239167.1"	"Epb41l3"	"+"	"protein_coding"	1847	"opposite"
"chr13"	66418113	66441118	"ENSMUST00000173583.7"	"2410141K09Rik"	"-"	"protein_coding"	"chr13"	66244269	66451277	"ENSMUST00000225647.1"	"Gm26754"	"+"	"lincRNA"	23005	"opposite"
"chr5"	3585111	3586374	"ENSMUST00000198718.1"	"2510017J16Rik"	"+"	"antisense"	"chr5"	3583977	3596585	"ENSMUST00000042753.13"	"Rbm48"	"-"	"protein_coding"	1263	"opposite"
"chr16"	36862449	36862741	"ENSMUST00000231824.1"	"2600002D14Rik"	"+"	"sense_intronic"	"chr16"	36828406	36872721	"ENSMUST00000114819.7"	"Iqcb1"	"+"	"protein_coding"	292	"same"
"chr16"	36862449	36862741	"ENSMUST00000231824.1"	"2600002D14Rik"	"+"	"sense_intronic"	"chr16"	36792883	36874826	"ENSMUST00000075946.11"	"Eaf2"	"-"	"protein_coding"	292	"opposite"
"chr13"	104684930	104694994	"ENSMUST00000131215.1"	"2610204G07Rik"	"+"	"antisense"	"chr13"	104631139	104816953	"ENSMUST00000022228.12"	"Cwc27"	"-"	"protein_coding"	10064	"opposite"
"chr14"	8367439	8371010	"ENSMUST00000225127.1"	"2610318M16Rik"	"+"	"antisense"	"chr14"	8348936	8378754	"ENSMUST00000022269.6"	"Oit1"	"-"	"protein_coding"	3571	"opposite"
"chr8"	124836944	124863014	"ENSMUST00000211971.1"	"2810004N23Rik"	"-"	"protein_coding"	"chr8"	124831697	124863703	"ENSMUST00000161868.1"	"Gm16163"	"+"	"processed_transcript"	26176	"opposite"
"chr8"	123042465	123044602	"ENSMUST00000186531.1"	"2810013P06Rik"	"+"	"bidirectional_promoter_lncRNA"	"chr8"	119910840	124345722	"ENSMUST00000127664.1"	"Galnt2l"	"+"	"protein_coding"	2137	"same"
"chr16"	95806028	95808317	"ENSMUST00000156615.1"	"2810404F17Rik"	"-"	"lincRNA"	"chr16"	95756540	95916757	"ENSMUST00000233116.1"	"1600002D24Rik"	"-"	"lincRNA"	2289	"same"
"chr5"	131615437	131625087	"ENSMUST00000198632.1"	"2810432F15Rik"	"+"	"antisense"	"chr5"	131437332	132543344	"ENSMUST00000161226.8"	"Auts2"	"-"	"protein_coding"	9650	"opposite"
"chr1"	162004968	162016485	"ENSMUST00000161583.1"	"2810442N19Rik"	"+"	"antisense"	"chr1"	161987301	162478034	"ENSMUST00000086074.11"	"Dnm3"	"-"	"protein_coding"	11526	"opposite"
"chr1"	162004968	162016485	"ENSMUST00000161583.1"	"2810442N19Rik"	"+"	"antisense"	"chr1"	161969199	162027106	"ENSMUST00000161826.1"	"Gm38304"	"+"	"antisense"	11526	"same"
"chr8"	123838552	123840785	"ENSMUST00000138442.1"	"2810455O05Rik"	"-"	"lincRNA"	"chr8"	119910840	124345722	"ENSMUST00000127664.1"	"Galnt2l"	"+"	"protein_coding"	2233	"opposite"
"chr14"	46883697	46885064	"ENSMUST00000228355.1"	"2810457G06Rik"	"-"	"antisense"	"chr14"	46882853	47103150	"ENSMUST00000022386.14"	"Samd4"	"+"	"protein_coding"	1367	"opposite"
"chr1"	189210360	189211013	"ENSMUST00000194444.1"	"2900042K21Rik"	"-"	"sense_overlapping"	"chr1"	189207936	189402273	"ENSMUST00000180044.7"	"Kcnk2"	"-"	"protein_coding"	653	"same"
"chr18"	76091556	76098471	"ENSMUST00000236092.1"	"2900057B20Rik"	"-"	"antisense"	"chr18"	75820177	76148564	"ENSMUST00000058997.14"	"Zbtb7c"	"+"	"protein_coding"	6915	"opposite"
"chr1"	118458651	118459267	"ENSMUST00000203191.1"	"2900060B14Rik"	"-"	"antisense"	"chr1"	118389057	118609497	"ENSMUST00000190571.6"	"Clasp1"	"+"	"protein_coding"	616	"opposite"
"chr2"	92054988	92059369	"ENSMUST00000123840.1"	"2900072N19Rik"	"-"	"lincRNA"	"chr2"	92043372	92096042	"ENSMUST00000150482.1"	"Gm13780"	"-"	"lincRNA"	4381	"same"
"chr2"	163419794	163420361	"ENSMUST00000190930.1"	"2900093K20Rik"	"+"	"antisense"	"chr2"	163405852	163424697	"ENSMUST00000104954.8"	"Oser1"	"-"	"protein_coding"	567	"opposite"
"chr16"	13671928	13678388	"ENSMUST00000225585.1"	"3110001I22Rik"	"+"	"protein_coding"	"chr16"	13671857	13703612	"ENSMUST00000023365.12"	"Bfar"	"+"	"protein_coding"	6460	"same"
"chr13"	78171629	78182973	"ENSMUST00000225503.1"	"3110006O06Rik"	"+"	"lincRNA"	"chr13"	78123378	78183159	"ENSMUST00000224734.1"	"Gm38604"	"-"	"antisense"	11344	"opposite"
"chr12"	88365313	88377323	"ENSMUST00000221603.1"	"3200001D21Rik"	"-"	"antisense"	"chr12"	88360553	88461719	"ENSMUST00000101165.8"	"Adck1"	"+"	"protein_coding"	12010	"opposite"
"chr18"	37655450	37661742	"ENSMUST00000192137.1"	"3222401L13Rik"	"+"	"lincRNA"	"chr18"	36975940	37833296	"ENSMUST00000193984.1"	"Gm37388"	"+"	"protein_coding"	6292	"same"
"chr18"	37655450	37661742	"ENSMUST00000192137.1"	"3222401L13Rik"	"+"	"lincRNA"	"chr18"	36969915	37833296	"ENSMUST00000194544.1"	"Gm37013"	"+"	"protein_coding"	6292	"same"
"chr18"	37655450	37661742	"ENSMUST00000192137.1"	"3222401L13Rik"	"+"	"lincRNA"	"chr18"	36952740	37840200	"ENSMUST00000115661.4"	"Gm42416"	"+"	"protein_coding"	6292	"same"
"chr12"	99341153	99361827	"ENSMUST00000126476.7"	"3300002A11Rik"	"+"	"antisense"	"chr12"	99195093	99450074	"ENSMUST00000085108.7"	"Foxn3"	"-"	"protein_coding"	20674	"opposite"
"chr14"	12284172	12303231	"ENSMUST00000163392.2"	"3830406C13Rik"	"+"	"protein_coding"	"chr14"	12283975	12324454	"ENSMUST00000225871.1"	"Gm49355"	"+"	"protein_coding"	19059	"same"
"chr2"	93030443	93044732	"ENSMUST00000145926.1"	"4631405J19Rik"	"+"	"antisense"	"chr2"	92972017	93045571	"ENSMUST00000111274.8"	"Prdm11"	"-"	"protein_coding"	16777	"opposite"
"chr3"	102134614	102137496	"ENSMUST00000197326.1"	"4632404M16Rik"	"+"	"sense_intronic"	"chr3"	102086414	102146514	"ENSMUST00000029454.11"	"Casq2"	"+"	"protein_coding"	2882	"same"
"chr7"	5034117	5035246	"ENSMUST00000076791.3"	"4632433K11Rik"	"+"	"protein_coding"	"chr7"	5020375	5036768	"ENSMUST00000076251.6"	"Zfp865"	"+"	"protein_coding"	1129	"same"
"chr7"	5034117	5035246	"ENSMUST00000076791.3"	"4632433K11Rik"	"+"	"protein_coding"	"chr7"	5020552	5059704	"ENSMUST00000208728.1"	"Ccdc106"	"+"	"protein_coding"	1129	"same"
"chr8"	123744630	123754726	"ENSMUST00000181805.2"	"4732419C18Rik"	"-"	"lincRNA"	"chr8"	119910840	124345722	"ENSMUST00000127664.1"	"Galnt2l"	"+"	"protein_coding"	10096	"opposite"
"chr1"	6209865	6215293	"ENSMUST00000191825.1"	"4732440D04Rik"	"-"	"antisense"	"chr1"	6206226	6238384	"ENSMUST00000160871.7"	"Rb1cc1"	"+"	"protein_coding"	5428	"opposite"
"chr12"	84039468	84053807	"ENSMUST00000180751.1"	"4732463B04Rik"	"-"	"antisense"	"chr12"	84038934	84058613	"ENSMUST00000221229.1"	"Gm49366"	"+"	"protein_coding"	14339	"opposite"
"chr8"	91449520	91474598	"ENSMUST00000211287.1"	"4831440D22Rik"	"-"	"antisense"	"chr8"	91313524	91668439	"ENSMUST00000069718.14"	"Fto"	"+"	"protein_coding"	25078	"opposite"
"chr19"	53460621	53462723	"ENSMUST00000180442.2"	"4833407H14Rik"	"+"	"lincRNA"	"chr19"	53443229	53464783	"ENSMUST00000180489.8"	"Mirt1"	"-"	"processed_transcript"	2102	"opposite"
"chr5"	3629776	3631722	"ENSMUST00000199632.1"	"4833413G10Rik"	"-"	"antisense"	"chr5"	3596065	3637232	"ENSMUST00000121291.7"	"Pex1"	"+"	"protein_coding"	1946	"opposite"
"chr15"	96231869	96254684	"ENSMUST00000181747.7"	"4833422M21Rik"	"-"	"processed_transcript"	"chr15"	96134818	96283608	"ENSMUST00000180852.1"	"2610037D02Rik"	"-"	"lincRNA"	22815	"same"
"chr9"	51081114	51102078	"ENSMUST00000170947.2"	"4833427G06Rik"	"-"	"protein_coding"	"chr9"	51060900	51116625	"ENSMUST00000214452.1"	"Btg4"	"+"	"protein_coding"	20964	"opposite"
"chr9"	78629373	78630128	"ENSMUST00000171278.1"	"4921509A06Rik"	"-"	"antisense"	"chr9"	78615545	78716253	"ENSMUST00000093812.4"	"Cd109"	"+"	"protein_coding"	755	"opposite"
"chr3"	79212918	79253913	"ENSMUST00000200412.1"	"4921511C10Rik"	"+"	"antisense"	"chr3"	79062530	79286517	"ENSMUST00000195708.1"	"Rapgef2"	"-"	"protein_coding"	40995	"opposite"
"chr7"	78254295	78255421	"ENSMUST00000206993.1"	"4921513I08Rik"	"+"	"antisense"	"chr7"	78175958	78578408	"ENSMUST00000039431.13"	"Ntrk3"	"-"	"protein_coding"	1126	"opposite"
"chr4"	141115659	141118087	"ENSMUST00000181450.1"	"4921514A10Rik"	"+"	"antisense"	"chr4"	141113000	141139775	"ENSMUST00000039939.6"	"Szrd1"	"-"	"protein_coding"	2428	"opposite"
"chr10"	88135918	88137531	"ENSMUST00000218993.1"	"4921515L22Rik"	"+"	"antisense"	"chr10"	88091431	88146941	"ENSMUST00000048518.15"	"Parpbp"	"-"	"protein_coding"	1613	"opposite"
"chr16"	57331950	57335432	"ENSMUST00000231497.1"	"4921517D16Rik"	"+"	"antisense"	"chr16"	57301999	57606846	"ENSMUST00000114371.4"	"Cmss1"	"-"	"protein_coding"	3482	"opposite"
"chr12"	57585974	57618602	"ENSMUST00000143949.1"	"4921518K17Rik"	"-"	"antisense"	"chr12"	57575816	57737928	"ENSMUST00000172939.7"	"Ttc6"	"+"	"protein_coding"	32628	"opposite"
"chr9"	98003419	98012175	"ENSMUST00000162911.1"	"4921534H16Rik"	"+"	"antisense"	"chr9"	97444394	98033181	"ENSMUST00000035027.12"	"Clstn2"	"-"	"protein_coding"	8756	"opposite"
"chr11"	34299706	34308113	"ENSMUST00000147359.1"	"4930403D09Rik"	"+"	"antisense"	"chr11"	34226814	34783892	"ENSMUST00000093193.11"	"Dock2"	"-"	"protein_coding"	8407	"opposite"
"chr2"	153492789	153493841	"ENSMUST00000109783.1"	"4930404H24Rik"	"+"	"protein_coding"	"chr2"	153407461	153529971	"ENSMUST00000035346.13"	"Nol4l"	"-"	"protein_coding"	1052	"opposite"
"chr14"	119798977	119817574	"ENSMUST00000228885.1"	"4930404K13Rik"	"+"	"sense_intronic"	"chr14"	119138340	119869815	"ENSMUST00000065904.4"	"Hs6st3"	"+"	"protein_coding"	18597	"same"
"chr10"	81364023	81365816	"ENSMUST00000020456.4"	"4930404N11Rik"	"-"	"protein_coding"	"chr10"	81357490	81366225	"ENSMUST00000044844.8"	"Mfsd12"	"+"	"protein_coding"	2750	"opposite"
"chr14"	22507173	22542798	"ENSMUST00000225327.1"	"4930405A10Rik"	"-"	"antisense"	"chr14"	22019711	23056085	"ENSMUST00000075639.10"	"Lrmda"	"+"	"protein_coding"	35650	"opposite"
"chr2"	156714539	156720909	"ENSMUST00000139042.7"	"4930405A21Rik"	"-"	"processed_transcript"	"chr2"	156613704	156764363	"ENSMUST00000169464.8"	"Dlgap4"	"+"	"protein_coding"	6370	"opposite"
"chr5"	99625835	99627062	"ENSMUST00000159244.1"	"4930405H06Rik"	"+"	"antisense"	"chr5"	99217425	99728812	"ENSMUST00000209346.1"	"Rasgef1b"	"-"	"protein_coding"	1227	"opposite"
"chr10"	20199239	20201838	"ENSMUST00000214323.1"	"4930405J17Rik"	"-"	"antisense"	"chr10"	20148470	20281522	"ENSMUST00000020173.15"	"Map7"	"+"	"protein_coding"	2599	"opposite"
"chr17"	63305445	63312971	"ENSMUST00000164605.7"	"4930405O22Rik"	"-"	"sense_intronic"	"chr17"	63057451	63500017	"ENSMUST00000024761.12"	"Fbxl17"	"-"	"protein_coding"	7528	"same"
"chr10"	66145295	66179514	"ENSMUST00000220265.1"	"4930407I19Rik"	"+"	"lincRNA"	"chr10"	66120604	66254223	"ENSMUST00000189619.1"	"1700023F02Rik"	"-"	"lincRNA"	34219	"opposite"
"chr11"	60112218	60115230	"ENSMUST00000130746.1"	"4930412M03Rik"	"-"	"lincRNA"	"chr11"	60105012	60199197	"ENSMUST00000149770.7"	"Rai1"	"+"	"protein_coding"	3012	"opposite"
"chr2"	9881251	9883921	"ENSMUST00000026889.1"	"4930412O13Rik"	"+"	"protein_coding"	"chr2"	9874701	9890034	"ENSMUST00000130615.1"	"Gata3"	"-"	"protein_coding"	2670	"opposite"
"chr15"	34675072	34679204	"ENSMUST00000228853.1"	"4930413F20Rik"	"+"	"antisense"	"chr15"	34572798	34679212	"ENSMUST00000040791.8"	"Nipal2"	"-"	"protein_coding"	4132	"opposite"
"chr13"	59054895	59084093	"ENSMUST00000225244.1"	"4930415C11Rik"	"-"	"antisense"	"chr13"	58807696	59133970	"ENSMUST00000079828.6"	"Ntrk2"	"+"	"protein_coding"	29198	"opposite"
"chr3"	33024776	33088607	"ENSMUST00000125494.1"	"4930419G24Rik"	"+"	"antisense"	"chr3"	32949953	33143082	"ENSMUST00000108226.7"	"Pex5l"	"-"	"protein_coding"	63831	"opposite"
"chr5"	67933609	67943083	"ENSMUST00000201190.1"	"4930425K10Rik"	"-"	"antisense"	"chr5"	67927260	67946421	"ENSMUST00000177616.1"	"Gm21905"	"-"	"protein_coding"	9474	"same"
"chr12"	38552807	38614521	"ENSMUST00000222132.1"	"4930428E07Rik"	"-"	"antisense"	"chr12"	37880704	38634239	"ENSMUST00000040500.8"	"Dgkb"	"+"	"protein_coding"	61714	"opposite"
"chr5"	115436065	115436644	"ENSMUST00000202548.1"	"4930430O22Rik"	"-"	"antisense"	"chr5"	115429598	115455698	"ENSMUST00000150779.7"	"Msi1"	"+"	"protein_coding"	579	"opposite"
"chr14"	118044973	118046864	"ENSMUST00000228171.1"	"4930435M08Rik"	"+"	"antisense"	"chr14"	118012789	118052185	"ENSMUST00000022725.3"	"Dct"	"-"	"protein_coding"	1891	"opposite"
"chr14"	67332041	67397742	"ENSMUST00000176841.1"	"4930438E09Rik"	"-"	"antisense"	"chr14"	67233585	67430918	"ENSMUST00000176161.7"	"Ebf2"	"+"	"protein_coding"	65701	"opposite"
"chr1"	37329666	37334156	"ENSMUST00000137241.1"	"4930439A04Rik"	"-"	"antisense"	"chr1"	37299890	37410736	"ENSMUST00000027287.10"	"Inpp4a"	"+"	"protein_coding"	4506	"opposite"
"chr3"	96829825	96832096	"ENSMUST00000145865.2"	"4930442L01Rik"	"-"	"antisense"	"chr3"	96829283	96851655	"ENSMUST00000135031.7"	"Pdzk1"	"+"	"protein_coding"	2271	"opposite"
"chr1"	54690495	54767524	"ENSMUST00000188243.1"	"4930444A19Rik"	"+"	"antisense"	"chr1"	54645339	54926387	"ENSMUST00000179030.7"	"Ankrd44"	"-"	"protein_coding"	85796	"opposite"
"chr10"	18796805	18831930	"ENSMUST00000215429.1"	"4930444F02Rik"	"-"	"lincRNA"	"chr10"	18743468	18837979	"ENSMUST00000215162.1"	"Gm32926"	"+"	"antisense"	35125	"opposite"
"chr2"	96987017	97083561	"ENSMUST00000170085.1"	"4930445B16Rik"	"-"	"lincRNA"	"chr2"	96318168	97631666	"ENSMUST00000135431.7"	"Lrrc4c"	"+"	"protein_coding"	96544	"opposite"
"chr15"	37425553	37440644	"ENSMUST00000022897.1"	"4930447A16Rik"	"+"	"protein_coding"	"chr15"	37366174	37792433	"ENSMUST00000090150.10"	"Ncald"	"-"	"protein_coding"	15091	"opposite"
"chr9"	108133717	108137904	"ENSMUST00000194283.5"	"4930447F24Rik"	"+"	"processed_transcript"	"chr9"	108096021	108190384	"ENSMUST00000035208.13"	"Bsn"	"-"	"protein_coding"	4850	"opposite"
"chr3"	122761954	122801949	"ENSMUST00000196290.1"	"4930447N08Rik"	"-"	"processed_transcript"	"chr3"	122728946	122859374	"ENSMUST00000066728.9"	"Pde5a"	"+"	"protein_coding"	40094	"opposite"
"chr9"	46326433	46329527	"ENSMUST00000215242.1"	"4930448E22Rik"	"-"	"processed_transcript"	"chr9"	46319037	46331798	"ENSMUST00000215849.1"	"Gm39329"	"+"	"antisense"	3135	"opposite"
"chr19"	57273959	57277052	"ENSMUST00000237596.1"	"4930449E18Rik"	"+"	"antisense"	"chr19"	57037250	57314919	"ENSMUST00000156316.7"	"Ablim1"	"-"	"protein_coding"	3093	"opposite"
"chr10"	56436353	56437603	"ENSMUST00000220158.1"	"4930452L12Rik"	"-"	"lincRNA"	"chr10"	56431980	56475967	"ENSMUST00000218830.1"	"Gm36595"	"+"	"lincRNA"	1250	"opposite"
"chr13"	45936039	45936904	"ENSMUST00000222376.1"	"4930453C13Rik"	"+"	"antisense"	"chr13"	45549754	45964976	"ENSMUST00000091628.10"	"Atxn1"	"-"	"protein_coding"	865	"opposite"
"chr1"	88347488	88352930	"ENSMUST00000147594.1"	"4930453O03Rik"	"-"	"antisense"	"chr1"	88303282	88388851	"ENSMUST00000113114.9"	"Trpm8"	"+"	"protein_coding"	5442	"opposite"
"chr10"	21319087	21342057	"ENSMUST00000218108.1"	"4930455C13Rik"	"-"	"antisense"	"chr10"	21295978	21368898	"ENSMUST00000020153.9"	"Hbs1l"	"+"	"protein_coding"	22970	"opposite"
"chr8"	11678807	11682211	"ENSMUST00000209697.1"	"4930465I24Rik"	"+"	"antisense"	"chr8"	11655478	11701063	"ENSMUST00000190741.1"	"1700016D06Rik"	"-"	"protein_coding"	3404	"opposite"
"chr15"	32619743	32623505	"ENSMUST00000227807.1"	"4930465K09Rik"	"-"	"antisense"	"chr15"	32244812	32696341	"ENSMUST00000067458.6"	"Sema5a"	"+"	"protein_coding"	3762	"opposite"
"chr6"	92012393	92016117	"ENSMUST00000144105.1"	"4930466I24Rik"	"-"	"antisense"	"chr6"	91978877	92076004	"ENSMUST00000089334.8"	"Fgd5"	"+"	"protein_coding"	3724	"opposite"
"chr18"	36105650	36109951	"ENSMUST00000235617.1"	"4930471G03Rik"	"+"	"antisense"	"chr18"	36017651	36197380	"ENSMUST00000115713.8"	"Nrg2"	"-"	"protein_coding"	4327	"opposite"
"chr10"	114757746	114785104	"ENSMUST00000161975.1"	"4930473D10Rik"	"+"	"antisense"	"chr10"	114398822	114802302	"ENSMUST00000239411.1"	"Trhde"	"-"	"protein_coding"	27358	"opposite"
"chr12"	88434112	88442219	"ENSMUST00000222124.1"	"4930473H19Rik"	"-"	"antisense"	"chr12"	88360553	88461719	"ENSMUST00000101165.8"	"Adck1"	"+"	"protein_coding"	8142	"opposite"
"chr17"	14389112	14398942	"ENSMUST00000233310.1"	"4930474M22Rik"	"-"	"antisense"	"chr17"	14279505	14404790	"ENSMUST00000024660.8"	"Smoc2"	"+"	"protein_coding"	9830	"opposite"
"chr12"	108313778	108328030	"ENSMUST00000181875.1"	"4930478K11Rik"	"-"	"antisense"	"chr12"	108306269	108330869	"ENSMUST00000021685.7"	"Hhipl1"	"+"	"protein_coding"	14252	"opposite"
"chr16"	78560315	78564869	"ENSMUST00000231846.1"	"4930478L05Rik"	"+"	"antisense"	"chr16"	78540337	78576657	"ENSMUST00000232052.1"	"D16Ertd472e"	"-"	"protein_coding"	4554	"opposite"
"chr15"	100105233	100108161	"ENSMUST00000229204.1"	"4930478M13Rik"	"-"	"antisense"	"chr15"	100038663	100219473	"ENSMUST00000100203.9"	"Dip2b"	"+"	"protein_coding"	2928	"opposite"
"chr17"	90861168	90867102	"ENSMUST00000162121.1"	"4930480K15Rik"	"+"	"antisense"	"chr17"	90033643	91093071	"ENSMUST00000160844.9"	"Nrxn1"	"-"	"protein_coding"	5934	"opposite"
"chr19"	53976461	54001442	"ENSMUST00000237486.1"	"4930484I04Rik"	"-"	"antisense"	"chr19"	53944305	54032867	"ENSMUST00000169861.8"	"Shoc2"	"+"	"protein_coding"	24981	"opposite"
"chr10"	86095858	86113586	"ENSMUST00000218077.1"	"4930486F22Rik"	"+"	"antisense"	"chr10"	86055124	86498856	"ENSMUST00000120638.7"	"Syn3"	"-"	"protein_coding"	17728	"opposite"
"chr1"	20356451	20392300	"ENSMUST00000161509.2"	"4930486I03Rik"	"+"	"antisense"	"chr1"	20057778	20618064	"ENSMUST00000088448.11"	"Pkhd1"	"-"	"protein_coding"	35849	"opposite"
"chr17"	84546488	84566824	"ENSMUST00000234072.1"	"4930500A05Rik"	"-"	"antisense"	"chr17"	84511894	84622138	"ENSMUST00000047206.6"	"Plekhh2"	"+"	"protein_coding"	20878	"opposite"
"chr3"	146645192	146651317	"ENSMUST00000049703.5"	"4930503B20Rik"	"-"	"protein_coding"	"chr3"	146641931	146651715	"ENSMUST00000141199.7"	"Gm16325"	"+"	"antisense"	6125	"opposite"
"chr14"	115396550	115409552	"ENSMUST00000176582.1"	"4930505G20Rik"	"-"	"processed_transcript"	"chr14"	115092249	116525179	"ENSMUST00000176912.7"	"Gpc5"	"+"	"protein_coding"	13002	"opposite"
"chr7"	37669798	37672347	"ENSMUST00000175854.2"	"4930505M18Rik"	"+"	"antisense"	"chr7"	37479176	37772875	"ENSMUST00000176205.7"	"Zfp536"	"-"	"protein_coding"	2549	"opposite"
"chr3"	104510098	104511313	"ENSMUST00000196088.1"	"4930509H03Rik"	"-"	"sense_intronic"	"chr3"	104453979	104511840	"ENSMUST00000046316.10"	"Lrig2"	"-"	"protein_coding"	1215	"same"
"chr3"	73351205	73481651	"ENSMUST00000194514.1"	"4930509J09Rik"	"-"	"lincRNA"	"chr3"	73066350	73594830	"ENSMUST00000192642.1"	"Gm20754"	"+"	"lincRNA"	130446	"opposite"
"chr3"	116663731	116664155	"ENSMUST00000197000.1"	"4930512P04Rik"	"+"	"lincRNA"	"chr3"	116641901	116681260	"ENSMUST00000140672.2"	"Gm43191"	"-"	"protein_coding"	424	"opposite"
"chr5"	114773736	114774983	"ENSMUST00000173208.1"	"4930515G01Rik"	"-"	"antisense"	"chr5"	114764350	114775517	"ENSMUST00000131016.1"	"Git2"	"-"	"protein_coding"	1247	"same"
"chr7"	104053599	104061445	"ENSMUST00000074064.4"	"4930516K23Rik"	"-"	"protein_coding"	"chr7"	103998799	104137405	"ENSMUST00000138055.1"	"Olfr643"	"-"	"protein_coding"	7846	"same"
"chr2"	124123635	124129956	"ENSMUST00000129584.1"	"4930517E11Rik"	"-"	"lincRNA"	"chr2"	124089968	124667769	"ENSMUST00000103241.7"	"Sema6d"	"+"	"protein_coding"	6321	"opposite"
"chr18"	37618905	37619766	"ENSMUST00000191880.1"	"4930517L18Rik"	"+"	"lincRNA"	"chr18"	36975940	37833296	"ENSMUST00000193984.1"	"Gm37388"	"+"	"protein_coding"	861	"same"
"chr18"	37618905	37619766	"ENSMUST00000191880.1"	"4930517L18Rik"	"+"	"lincRNA"	"chr18"	36969915	37833296	"ENSMUST00000194544.1"	"Gm37013"	"+"	"protein_coding"	861	"same"
"chr18"	37618905	37619766	"ENSMUST00000191880.1"	"4930517L18Rik"	"+"	"lincRNA"	"chr18"	36952740	37840200	"ENSMUST00000115661.4"	"Gm42416"	"+"	"protein_coding"	861	"same"
"chr14"	100213141	100245339	"ENSMUST00000140320.8"	"4930517O19Rik"	"+"	"antisense"	"chr14"	99870631	100284679	"ENSMUST00000228216.1"	"Klf12"	"-"	"protein_coding"	32198	"opposite"
"chr5"	48003064	48005707	"ENSMUST00000172700.2"	"4930518C09Rik"	"-"	"antisense"	"chr5"	47983137	48307733	"ENSMUST00000173107.7"	"Slit2"	"+"	"protein_coding"	2643	"opposite"
"chr14"	24003843	24008335	"ENSMUST00000223609.1"	"4930519K11Rik"	"+"	"bidirectional_promoter_lncRNA"	"chr14"	23435980	24014491	"ENSMUST00000226051.1"	"Kcnma1"	"-"	"protein_coding"	4492	"opposite"
"chr5"	139215468	139216356	"ENSMUST00000196947.1"	"4930520M14Rik"	"-"	"antisense"	"chr5"	139200636	139249840	"ENSMUST00000058716.13"	"Sun1"	"+"	"protein_coding"	888	"opposite"
"chr1"	44739675	44744949	"ENSMUST00000186732.1"	"4930521E06Rik"	"-"	"antisense"	"chr1"	44551510	44796838	"ENSMUST00000074525.9"	"Gulp1"	"+"	"protein_coding"	5274	"opposite"
"chr5"	99682998	99685034	"ENSMUST00000031274.1"	"4930522N08Rik"	"+"	"antisense"	"chr5"	99217425	99728812	"ENSMUST00000209346.1"	"Rasgef1b"	"-"	"protein_coding"	2036	"opposite"
"chr5"	99682998	99685034	"ENSMUST00000031274.1"	"4930522N08Rik"	"+"	"antisense"	"chr5"	99682409	99715772	"ENSMUST00000160096.1"	"Gm16226"	"+"	"antisense"	2036	"same"
"chr19"	10645689	10648053	"ENSMUST00000236337.1"	"4930524O05Rik"	"-"	"antisense"	"chr19"	10634232	10666213	"ENSMUST00000055115.8"	"Vwce"	"+"	"protein_coding"	2364	"opposite"
"chr10"	97714771	97753702	"ENSMUST00000217919.1"	"4930525C09Rik"	"+"	"lincRNA"	"chr10"	97681413	97967090	"ENSMUST00000220233.1"	"Gm10754"	"-"	"lincRNA"	38931	"opposite"
"chr11"	81385012	81402491	"ENSMUST00000141593.1"	"4930527B05Rik"	"+"	"antisense"	"chr11"	80880168	81968457	"ENSMUST00000066197.6"	"Asic2"	"-"	"protein_coding"	17479	"opposite"
"chr18"	29442199	29466107	"ENSMUST00000234621.1"	"4930527G23Rik"	"+"	"lincRNA"	"chr18"	29396715	29496416	"ENSMUST00000234588.1"	"4930578E11Rik"	"-"	"lincRNA"	23908	"opposite"
