"geneChr_Nested"	"geneStart_Nested"	"geneEnd_Nested"	"ENST_Nested"	"SYMBOL_Nested"	"Strand_Nested"	"biotype_Nested"	"geneChr_Host"	"geneStart_Host"	"geneEnd_Host"	"ENST_Host"	"SYMBOL_Host"	"Strand_Host"	"biotype_Host"	"Overlap_size"	"Strandness"	"pairid"
"118"	"chr12"	48093183	48093700	"ENST00000611728.1_1"	"AC004241.3"	"-"	"lncRNA"	"chr12"	48055031	48099813	"ENST00000005386.8_4"	"RPAP3"	"-"	"protein_coding"	517	"same"	"118_ID"
"119"	"chr12"	48162311	48163431	"ENST00000622792.1_1"	"AC004241.4"	"+"	"lncRNA"	"chr12"	48147698	48172954	"ENST00000548498.5_1"	"SLC48A1"	"+"	"protein_coding"	1120	"same"	"119_ID"
"120"	"chr12"	48162311	48163431	"ENST00000622792.1_1"	"AC004241.4"	"+"	"lncRNA"	"chr12"	48131028	48164817	"ENST00000549151.5_6"	"RAPGEF3"	"-"	"protein_coding"	1120	"opposite"	"120_ID"
"121"	"chr17"	30200944	30213685	"ENST00000583236.1_1"	"AC004253.1"	"+"	"lncRNA"	"chr17"	30187922	30228727	"ENST00000261708.9_4"	"UTP6"	"-"	"protein_coding"	12741	"opposite"	"121_ID"
"122"	"chr12"	120662546	120663224	"ENST00000617183.1_2"	"AC004263.1"	"+"	"lncRNA"	"chr12"	120648241	120703574	"ENST00000267257.11_4"	"PXN"	"-"	"protein_coding"	678	"opposite"	"122_ID"
"123"	"chr12"	120655872	120660471	"ENST00000651205.1_1"	"AC004263.2"	"+"	"lncRNA"	"chr12"	120648241	120703574	"ENST00000267257.11_4"	"PXN"	"-"	"protein_coding"	4599	"opposite"	"123_ID"
"124"	"chr16"	20754984	20777942	"ENST00000565498.1_3"	"AC004381.1"	"-"	"lncRNA"	"chr16"	20621564	20787242	"ENST00000568235.5_3"	"ACSM3"	"+"	"protein_coding"	22958	"opposite"	"124_ID"
"125"	"chr7"	10742302	10747033	"ENST00000422697.1_1"	"AC004415.1"	"+"	"lncRNA"	"chr7"	10489446	10819571	"ENST00000634803.1_3"	"MGC4859"	"-"	"lncRNA"	4731	"opposite"	"125_ID"
"126"	"chr17"	19360392	19361712	"ENST00000435953.2_1"	"AC004448.1"	"+"	"lncRNA"	"chr17"	19351491	19396304	"ENST00000629746.2_4"	"AC004448.2"	"-"	"lncRNA"	1320	"opposite"	"126_ID"
"127"	"chr17"	19315098	19316431	"ENST00000579897.1_3"	"AC004448.3"	"-"	"lncRNA"	"chr17"	19314544	19320589	"ENST00000461366.2_2"	"RNF112"	"+"	"protein_coding"	1333	"opposite"	"127_ID"
"128"	"chr22"	19048553	19049356	"ENST00000629517.1_1"	"AC004461.2"	"-"	"lncRNA"	"chr22"	19023794	19109967	"ENST00000537045.5_3"	"DGCR2"	"-"	"protein_coding"	803	"same"	"128_ID"
"129"	"chr12"	48178705	48179785	"ENST00000599515.2_1"	"AC004466.1"	"+"	"lncRNA"	"chr12"	48176504	48213686	"ENST00000080059.12_5"	"HDAC7"	"-"	"protein_coding"	1080	"opposite"	"129_ID"
"130"	"chr12"	48211233	48211749	"ENST00000614749.1_1"	"AC004466.2"	"-"	"lncRNA"	"chr12"	48176504	48213686	"ENST00000080059.12_5"	"HDAC7"	"-"	"protein_coding"	516	"same"	"130_ID"
"131"	"chr12"	48182208	48182754	"ENST00000615576.1_1"	"AC004466.3"	"+"	"lncRNA"	"chr12"	48176504	48213686	"ENST00000080059.12_5"	"HDAC7"	"-"	"protein_coding"	546	"opposite"	"131_ID"
"132"	"chrX"	22716573	22787083	"ENST00000442155.1_1"	"AC004470.1"	"+"	"lncRNA"	"chrX"	22277913	23311263	"ENST00000608254.1"	"RP11-40F8.2"	"-"	"lincRNA"	70510	"opposite"	"132_ID"
"133"	"chr17"	46137744	46138031	"ENST00000583349.1_3"	"AC004477.1"	"-"	"lncRNA"	"chr17"	46125720	46138907	"ENST00000362042.8_4"	"NFE2L1"	"+"	"protein_coding"	287	"opposite"	"133_ID"
"134"	"chr19"	2212027	2215564	"ENST00000585593.1_3"	"AC004490.1"	"-"	"lncRNA"	"chr19"	2163931	2232577	"ENST00000398665.8_2"	"DOT1L"	"+"	"protein_coding"	3537	"opposite"	"134_ID"
"135"	"chr16"	3592738	3595513	"ENST00000613210.1_1"	"AC004494.1"	"+"	"lncRNA"	"chr16"	3589032	3627404	"ENST00000359128.10_4"	"NLRC3"	"-"	"protein_coding"	3047	"opposite"	"135_ID"
"136"	"chr19"	1010219	1010906	"ENST00000610701.1_1"	"AC004528.2"	"+"	"lncRNA"	"chr19"	1009646	1021178	"ENST00000593068.7_5"	"TMEM259"	"-"	"nonsense_mediated_decay"	687	"opposite"	"136_ID"
"137"	"chr22"	31373501	31373844	"ENST00000602955.1_3"	"AC004542.1"	"-"	"lncRNA"	"chr22"	31365255	31375381	"ENST00000644773.2_3"	"TUG1"	"+"	"protein_coding"	343	"opposite"	"137_ID"
"138"	"chr22"	31373501	31373844	"ENST00000602955.1_3"	"AC004542.1"	"-"	"lncRNA"	"chr22"	31372500	31374834	"ENST00000602847.1_3"	"AC004542.2"	"-"	"lncRNA"	343	"same"	"138_ID"
"139"	"chr22"	31372500	31374834	"ENST00000602847.1_3"	"AC004542.2"	"-"	"lncRNA"	"chr22"	31365255	31375381	"ENST00000644773.2_3"	"TUG1"	"+"	"protein_coding"	2334	"opposite"	"139_ID"
"140"	"chr7"	27913403	27916165	"ENST00000671499.1_1"	"AC004549.1"	"+"	"lncRNA"	"chr7"	27870195	28220414	"ENST00000283928.10_4"	"JAZF1"	"-"	"protein_coding"	2762	"opposite"	"140_ID"
"141"	"chr17"	55017292	55018636	"ENST00000572187.1_1"	"AC004584.1"	"+"	"lncRNA"	"chr17"	55015559	55038411	"ENST00000240316.5_4"	"COIL"	"-"	"protein_coding"	1344	"opposite"	"141_ID"
"142"	"chr17"	55060109	55062465	"ENST00000572877.1_1"	"AC004584.3"	"+"	"lncRNA"	"chr17"	55055491	55084129	"ENST00000262288.8_2"	"SCPEP1"	"+"	"protein_coding"	2356	"same"	"142_ID"
"143"	"chr7"	29231197	29233725	"ENST00000642619.1_1"	"AC004593.1"	"-"	"lncRNA"	"chr7"	29035252	29234892	"ENST00000409850.5_3"	"CPVL"	"-"	"protein_coding"	2528	"same"	"143_ID"
"144"	"chr7"	29231197	29233725	"ENST00000642619.1_1"	"AC004593.1"	"-"	"lncRNA"	"chr7"	29186212	29519972	"ENST00000474070.5_3"	"CHN2"	"+"	"nonsense_mediated_decay"	2528	"opposite"	"144_ID"
"145"	"chr7"	29231197	29233725	"ENST00000642619.1_1"	"AC004593.1"	"-"	"lncRNA"	"chr7"	29161955	29554283	"ENST00000644824.1_2"	"AC004593.2"	"+"	"protein_coding"	2528	"opposite"	"145_ID"
"146"	"chr7"	121968545	122080442	"ENST00000630777.2_2"	"AC004594.1"	"+"	"lncRNA"	"chr7"	121958478	122526813	"ENST00000313070.11_3"	"CADPS2"	"-"	"protein_coding"	111920	"opposite"	"146_ID"
"147"	"chr19"	3672579	3674293	"ENST00000586675.1_1"	"AC004637.1"	"+"	"lncRNA"	"chr19"	3630180	3700466	"ENST00000335312.8_5"	"PIP5K1C"	"-"	"protein_coding"	1714	"opposite"	"147_ID"
"148"	"chrX"	24716238	24716308	"ENST00000577230.1"	"AC004655.1"	"+"	"miRNA"	"chrX"	24712034	25015103	"ENST00000379068.8_4"	"POLA1"	"+"	"protein_coding"	70	"same"	"148_ID"
"149"	"chrX"	24535356	24535457	"ENST00000580722.1"	"AC004656.1"	"-"	"miRNA"	"chrX"	24483402	24568583	"ENST00000568479.2_3"	"PDK3"	"+"	"protein_coding"	101	"opposite"	"149_ID"
"150"	"chr12"	1489225	1500668	"ENST00000513082.2_3"	"AC004672.1"	"-"	"lncRNA"	"chr12"	1100373	1605099	"ENST00000543086.7_2"	"ERC1"	"+"	"protein_coding"	11443	"opposite"	"150_ID"
"151"	"chr12"	1494998	1496153	"ENST00000537181.1_1"	"AC004672.2"	"+"	"lncRNA"	"chr12"	1100373	1605099	"ENST00000543086.7_2"	"ERC1"	"+"	"protein_coding"	1155	"same"	"151_ID"
"152"	"chr12"	1494998	1496153	"ENST00000537181.1_1"	"AC004672.2"	"+"	"lncRNA"	"chr12"	1489225	1500668	"ENST00000513082.2_3"	"AC004672.1"	"-"	"lncRNA"	1155	"opposite"	"152_ID"
"153"	"chrX"	23138948	23139022	"ENST00000408859.1"	"AC004673.1"	"-"	"miRNA"	"chrX"	22277913	23311263	"ENST00000608254.1"	"RP11-40F8.2"	"-"	"lincRNA"	74	"same"	"153_ID"
"154"	"chr17"	56408244	56409869	"ENST00000579003.1_1"	"AC004687.1"	"-"	"lncRNA"	"chr17"	56401832	56431028	"ENST00000667382.1_3"	"TSPOAP1-AS1"	"+"	"lncRNA"	1625	"opposite"	"154_ID"
"155"	"chr17"	56318524	56324746	"ENST00000655053.1_4"	"AC004687.3"	"-"	"lncRNA"	"chr17"	56295908	56345587	"ENST00000582328.5_2"	"LPO"	"+"	"protein_coding"	6222	"opposite"	"155_ID"
"156"	"chr7"	30836306	30843026	"ENST00000440376.1_3"	"AC004691.1"	"-"	"lncRNA"	"chr7"	30811032	30932002	"ENST00000265299.6_2"	"MINDY4"	"+"	"protein_coding"	6720	"opposite"	"156_ID"
"157"	"chr7"	30836306	30843026	"ENST00000440376.1_3"	"AC004691.1"	"-"	"lncRNA"	"chr7"	30791752	30931696	"ENST00000458257.5_1"	"INMT-MINDY4"	"+"	"nonsense_mediated_decay"	6720	"opposite"	"157_ID"
"158"	"chr7"	43278664	43288867	"ENST00000457315.1_3"	"AC004692.2"	"-"	"lncRNA"	"chr7"	43152245	43605600	"ENST00000395891.7_3"	"HECW1"	"+"	"protein_coding"	10203	"opposite"	"158_ID"
"159"	"chr19"	15163740	15163885	"ENST00000411269.1"	"AC004699.1"	"+"	"miRNA"	"chr19"	15160290	15169104	"ENST00000427043.4_2"	"CASP14"	"+"	"protein_coding"	145	"same"	"159_ID"
"160"	"chr17"	6556782	6558328	"ENST00000576138.1_3"	"AC004706.1"	"-"	"lncRNA"	"chr17"	6555190	6596521	"ENST00000635042.1_2"	"C17orf100"	"+"	"nonsense_mediated_decay"	1546	"opposite"	"160_ID"
"161"	"chr17"	6531938	6543776	"ENST00000634965.2_5"	"AC004706.3"	"-"	"protein_coding"	"chr17"	6481466	6544031	"ENST00000361413.8_5"	"KIAA0753"	"-"	"protein_coding"	11838	"same"	"161_ID"
"162"	"chr12"	974453	976305	"ENST00000648642.1_3"	"AC004765.1"	"-"	"lncRNA"	"chr12"	861744	1020618	"ENST00000315939.11_3"	"WNK1"	"+"	"protein_coding"	1852	"opposite"	"162_ID"
"163"	"chr17"	4876145	4877976	"ENST00000430920.1_1"	"AC004771.1"	"+"	"lncRNA"	"chr17"	4871291	4890970	"ENST00000348066.8_8"	"CAMTA2"	"-"	"protein_coding"	1831	"opposite"	"163_ID"
"164"	"chr17"	4871289	4872117	"ENST00000576752.1_1"	"AC004771.3"	"+"	"lncRNA"	"chr17"	4871286	4889529	"ENST00000574951.5_3"	"CAMTA2"	"-"	"nonsense_mediated_decay"	828	"opposite"	"164_ID"
"165"	"chr17"	4889760	4890619	"ENST00000575985.1_1"	"AC004771.4"	"+"	"lncRNA"	"chr17"	4871291	4890970	"ENST00000348066.8_8"	"CAMTA2"	"-"	"protein_coding"	859	"opposite"	"165_ID"
"166"	"chr12"	48413553	48419165	"ENST00000547602.1_3"	"AC004801.3"	"-"	"lncRNA"	"chr12"	48405086	48419252	"ENST00000546738.1_1"	"AC004801.4"	"+"	"lncRNA"	5612	"opposite"	"166_ID"
"167"	"chr12"	120609842	120609930	"ENST00000582675.1"	"AC004812.1"	"-"	"miRNA"	"chr12"	120565005	120632518	"ENST00000300648.7_4"	"GCN1"	"-"	"protein_coding"	88	"same"	"167_ID"
"168"	"chr14"	71679349	71684933	"ENST00000553621.1_1"	"AC004817.1"	"+"	"lncRNA"	"chr14"	71645769	71710558	"ENST00000663930.1_3"	"AC004817.5"	"-"	"lncRNA"	5584	"opposite"	"168_ID"
"169"	"chr14"	71648172	71648823	"ENST00000561794.1_1"	"AC004817.2"	"+"	"lncRNA"	"chr14"	71645769	71710558	"ENST00000663930.1_3"	"AC004817.5"	"-"	"lncRNA"	651	"opposite"	"169_ID"
"170"	"chr14"	71685816	71689441	"ENST00000602396.1_1"	"AC004817.4"	"+"	"lncRNA"	"chr14"	71645769	71710558	"ENST00000663930.1_3"	"AC004817.5"	"-"	"lncRNA"	3625	"opposite"	"170_ID"
"171"	"chr1"	17740126	17740190	"ENST00000583469.1"	"AC004824.1"	"-"	"miRNA"	"chr1"	17733255	17766173	"ENST00000375436.9_4"	"RCC2"	"-"	"protein_coding"	64	"same"	"171_ID"
"172"	"chr1"	17655506	17676070	"ENST00000602074.1"	"AC004824.2"	"-"	"protein_coding"	"chr1"	17634691	17690499	"ENST00000375448.4_2"	"PADI4"	"+"	"protein_coding"	20564	"opposite"	"172_ID"
"173"	"chr14"	71412356	71425746	"ENST00000661959.1_3"	"AC004825.3"	"-"	"lncRNA"	"chr14"	71374175	71582099	"ENST00000304743.7_5"	"PCNX1"	"+"	"protein_coding"	13390	"opposite"	"173_ID"
"174"	"chr14"	72982114	73011330	"ENST00000656476.1_3"	"AC004828.2"	"-"	"lncRNA"	"chr14"	72399145	73033238	"ENST00000553525.6_3"	"RGS6"	"+"	"protein_coding"	29216	"opposite"	"174_ID"
"175"	"chr22"	30817194	30817525	"ENST00000608952.1_1"	"AC004832.4"	"-"	"lncRNA"	"chr22"	30781895	30817760	"ENST00000431544.2_3"	"RNF215"	"-"	"protein_coding"	331	"same"	"175_ID"
"176"	"chr22"	30817194	30817525	"ENST00000608952.1_1"	"AC004832.4"	"-"	"lncRNA"	"chr22"	30805243	30824977	"ENST00000454552.5_6"	"AC004832.3"	"+"	"nonsense_mediated_decay"	331	"opposite"	"176_ID"
"177"	"chr22"	30817194	30817525	"ENST00000608952.1_1"	"AC004832.4"	"-"	"lncRNA"	"chr22"	30793006	30821291	"ENST00000615189.5_3"	"SEC14L2"	"+"	"protein_coding"	331	"opposite"	"177_ID"
"178"	"chr22"	30816500	30816901	"ENST00000608677.1_1"	"AC004832.5"	"+"	"lncRNA"	"chr22"	30781895	30817760	"ENST00000431544.2_3"	"RNF215"	"-"	"protein_coding"	401	"opposite"	"178_ID"
"179"	"chr22"	30816500	30816901	"ENST00000608677.1_1"	"AC004832.5"	"+"	"lncRNA"	"chr22"	30793006	30821291	"ENST00000615189.5_3"	"SEC14L2"	"+"	"protein_coding"	401	"same"	"179_ID"
"180"	"chr22"	30816500	30816901	"ENST00000608677.1_1"	"AC004832.5"	"+"	"lncRNA"	"chr22"	30805243	30824977	"ENST00000454552.5_6"	"AC004832.3"	"+"	"nonsense_mediated_decay"	401	"same"	"180_ID"
"181"	"chr7"	39739939	39742895	"ENST00000435766.1_3"	"AC004837.2"	"-"	"lncRNA"	"chr7"	39663170	39747719	"ENST00000005257.7_2"	"RALA"	"+"	"protein_coding"	2956	"opposite"	"181_ID"
"182"	"chr7"	39649208	39649889	"ENST00000420748.1_3"	"AC004837.3"	"-"	"lncRNA"	"chr7"	39606004	39649919	"ENST00000432096.2_1"	"YAE1"	"+"	"protein_coding"	681	"opposite"	"182_ID"
"183"	"chr7"	107220001	107220502	"ENST00000610269.1_2"	"AC004839.2"	"-"	"lncRNA"	"chr7"	107204415	107263762	"ENST00000673665.1_1"	"DUS4L-BCAP29"	"+"	"protein_coding"	501	"opposite"	"183_ID"
"184"	"chr14"	73709358	73712687	"ENST00000554614.2_3"	"AC004846.1"	"-"	"lncRNA"	"chr14"	73704204	73741348	"ENST00000340738.9_3"	"PAPLN"	"+"	"protein_coding"	3329	"opposite"	"184_ID"
"185"	"chr14"	73738889	73740789	"ENST00000556578.1_3"	"AC004846.2"	"-"	"lncRNA"	"chr14"	73704204	73741348	"ENST00000340738.9_3"	"PAPLN"	"+"	"protein_coding"	1900	"opposite"	"185_ID"
"186"	"chr7"	73985676	73985754	"ENST00000516569.1"	"AC004851.1"	"+"	"miRNA"	"chr7"	73868119	74016917	"ENST00000265755.7_2"	"GTF2IRD1"	"+"	"protein_coding"	78	"same"	"186_ID"
"187"	"chr7"	47009313	47067079	"ENST00000423781.1_1"	"AC004870.2"	"+"	"lncRNA"	"chr7"	46930224	47089276	"ENST00000433337.1_3"	"AC004870.4"	"-"	"lncRNA"	57838	"opposite"	"187_ID"
"188"	"chr7"	149555488	149559581	"ENST00000608963.1_1"	"AC004877.1"	"-"	"lncRNA"	"chr7"	149535463	149564568	"ENST00000223210.5_2"	"ZNF862"	"+"	"protein_coding"	4093	"opposite"	"188_ID"
"189"	"chr7"	74856620	74857439	"ENST00000458474.2"	"AC004878.7"	"-"	"sense_intronic"	"chr7"	74807498	74867509	"ENST00000426327.3"	"GATSL2"	"-"	"protein_coding"	819	"same"	"189_ID"
"190"	"chr22"	30107808	30115703	"ENST00000420180.1_3"	"AC004882.2"	"-"	"lncRNA"	"chr22"	30101244	30115848	"ENST00000416352.1_3"	"AC004882.1"	"-"	"lncRNA"	7895	"same"	"190_ID"
"191"	"chr7"	104944723	104947089	"ENST00000476569.1_1"	"AC004884.2"	"+"	"lncRNA"	"chr7"	104756820	105029368	"ENST00000393651.8_5"	"SRPK2"	"-"	"protein_coding"	2366	"opposite"	"191_ID"
"192"	"chr7"	98587489	98591401	"ENST00000663185.1_3"	"AC004893.2"	"-"	"lncRNA"	"chr7"	98476112	98610866	"ENST00000355540.7_2"	"TRRAP"	"+"	"protein_coding"	3912	"opposite"	"192_ID"
"193"	"chr14"	72201643	72206511	"ENST00000647803.1_3"	"AC004900.1"	"-"	"lncRNA"	"chr14"	71996041	72207946	"ENST00000555818.5_2"	"SIPA1L1"	"+"	"protein_coding"	4868	"opposite"	"193_ID"
"194"	"chr8"	184346	184887	"ENST00000606572.1_1"	"AC004908.1"	"-"	"lncRNA"	"chr8"	182216	214703	"ENST00000640035.1_1"	"ZNF596"	"+"	"protein_coding"	541	"opposite"	"194_ID"
"195"	"chr8"	183118	183692	"ENST00000609090.1_1"	"AC004908.2"	"+"	"lncRNA"	"chr8"	182216	214703	"ENST00000640035.1_1"	"ZNF596"	"+"	"protein_coding"	574	"same"	"195_ID"
"196"	"chr8"	187044	187669	"ENST00000610248.1_1"	"AC004908.3"	"+"	"lncRNA"	"chr8"	182216	214703	"ENST00000640035.1_1"	"ZNF596"	"+"	"protein_coding"	625	"same"	"196_ID"
"197"	"chr7"	141362721	141363646	"ENST00000602609.1_1"	"AC004918.3"	"-"	"lncRNA"	"chr7"	141356527	141401966	"ENST00000536163.6_5"	"DENND11"	"-"	"protein_coding"	925	"same"	"197_ID"
"198"	"chr7"	123977433	123989914	"ENST00000470677.1_3"	"AC004930.1"	"-"	"lncRNA"	"chr7"	123672666	124129626	"ENST00000652254.1_2"	"AC006148.1"	"+"	"lncRNA"	12481	"opposite"	"198_ID"
"199"	"chr16"	72839896	72843771	"ENST00000620814.1_1"	"AC004943.1"	"+"	"lncRNA"	"chr16"	72816783	73925770	"ENST00000641206.2_5"	"ZFHX3"	"-"	"protein_coding"	22180	"opposite"	"199_ID"
"200"	"chr16"	72839896	72843771	"ENST00000620814.1_1"	"AC004943.1"	"+"	"lncRNA"	"chr16"	72699021	72856680	"ENST00000668995.1_1"	"AC004943.2"	"+"	"lncRNA"	22180	"same"	"200_ID"
"201"	"chr16"	72806571	72807171	"ENST00000624116.1_1"	"AC004943.3"	"+"	"lncRNA"	"chr16"	72699021	72856680	"ENST00000668995.1_1"	"AC004943.2"	"+"	"lncRNA"	600	"same"	"201_ID"
"202"	"chr7"	119806496	119826118	"ENST00000421825.2_2"	"AC004946.2"	"+"	"lncRNA"	"chr7"	119781069	119867267	"ENST00000456062.2_4"	"AC004946.1"	"-"	"lncRNA"	19622	"opposite"	"202_ID"
"203"	"chr7"	44043644	44047465	"ENST00000447643.1_3"	"AC004951.1"	"-"	"lncRNA"	"chr7"	43980493	44058748	"ENST00000427076.5_3"	"POLR2J4"	"-"	"lncRNA"	3821	"same"	"203_ID"
"204"	"chr7"	44043644	44047465	"ENST00000447643.1_3"	"AC004951.1"	"-"	"lncRNA"	"chr7"	43991508	44058750	"ENST00000454572.1_3"	"AC004951.4"	"-"	"lncRNA"	3821	"same"	"204_ID"
"205"	"chr7"	44043644	44047465	"ENST00000447643.1_3"	"AC004951.1"	"-"	"lncRNA"	"chr7"	44037495	44048457	"ENST00000652520.1_2"	"SPDYE1"	"+"	"protein_coding"	3821	"opposite"	"205_ID"
"206"	"chr7"	97595688	97599716	"ENST00000650204.1_3"	"AC004967.2"	"-"	"lncRNA"	"chr7"	97480999	97602297	"ENST00000641784.1_2"	"AC079781.5"	"-"	"lncRNA"	4028	"same"	"206_ID"
"207"	"chr7"	89748612	89752204	"ENST00000471553.1_3"	"AC004969.1"	"-"	"lncRNA"	"chr7"	89511666	89840949	"ENST00000478318.6_3"	"STEAP2-AS1"	"-"	"lncRNA"	52126	"same"	"207_ID"
"208"	"chr14"	72052985	72057071	"ENST00000647653.1_3"	"AC004974.1"	"-"	"lncRNA"	"chr14"	71996041	72207946	"ENST00000555818.5_2"	"SIPA1L1"	"+"	"protein_coding"	4086	"opposite"	"208_ID"
"209"	"chrX"	114938131	114938187	"ENST00000580961.1"	"AC005000.2"	"+"	"miRNA"	"chrX"	114929232	115085355	"ENST00000664453.1_3"	"DANT2"	"-"	"lncRNA"	56	"opposite"	"209_ID"
"210"	"chr22"	31478141	31479551	"ENST00000609017.1_1"	"AC005005.3"	"-"	"lncRNA"	"chr22"	31460090	31484011	"ENST00000432777.5_1"	"SMTN"	"+"	"protein_coding"	1410	"opposite"	"210_ID"
"211"	"chr22"	30994295	31002674	"ENST00000432130.1_1"	"AC005006.1"	"+"	"lncRNA"	"chr22"	30972614	31003070	"ENST00000402281.5_3"	"PES1"	"-"	"protein_coding"	8379	"opposite"	"211_ID"
"212"	"chr7"	86404396	86405338	"ENST00000423979.1_3"	"AC005009.1"	"-"	"lncRNA"	"chr7"	86273229	86494200	"ENST00000361669.6_1"	"GRM3"	"+"	"protein_coding"	942	"opposite"	"212_ID"
"213"	"chr7"	16510808	16510998	"ENST00000605985.1_1"	"AC005014.3"	"+"	"lncRNA"	"chr7"	16131120	16542119	"ENST00000675257.1_1"	"CRPPA"	"-"	"protein_coding"	190	"opposite"	"213_ID"
"214"	"chr7"	16510808	16510998	"ENST00000605985.1_1"	"AC005014.3"	"+"	"lncRNA"	"chr7"	16501167	16570205	"ENST00000396652.1_4"	"SOSTDC1"	"-"	"protein_coding"	190	"opposite"	"214_ID"
"215"	"chr7"	16643440	16655920	"ENST00000663260.1_1"	"AC005014.4"	"+"	"lncRNA"	"chr7"	16639403	16685379	"ENST00000306999.7_4"	"ANKMY2"	"-"	"protein_coding"	12480	"opposite"	"215_ID"
"216"	"chr7"	99184537	99184622	"ENST00000584735.1"	"AC005020.1"	"+"	"miRNA"	"chr7"	99156317	99205433	"ENST00000455905.1_1"	"AC005020.2"	"+"	"nonsense_mediated_decay"	85	"same"	"216_ID"
"217"	"chr7"	95045419	95045774	"ENST00000608730.1_1"	"AC005021.1"	"+"	"lncRNA"	"chr7"	95034208	95064641	"ENST00000633192.1_3"	"PON2"	"-"	"protein_coding"	355	"opposite"	"217_ID"
"218"	"chr2"	75924708	75925122	"ENST00000604464.1_1"	"AC005034.2"	"+"	"lncRNA"	"chr2"	75889833	75938111	"ENST00000541687.5_4"	"GCFC2"	"-"	"protein_coding"	414	"opposite"	"218_ID"
"219"	"chr2"	75887587	75889334	"ENST00000604845.1_1"	"AC005034.3"	"+"	"lncRNA"	"chr2"	75873919	75917885	"ENST00000358788.10_1"	"MRPL19"	"+"	"protein_coding"	1747	"same"	"219_ID"
"220"	"chr2"	75887587	75889334	"ENST00000604845.1_1"	"AC005034.3"	"+"	"lncRNA"	"chr2"	75879125	75893067	"ENST00000470285.1_5"	"GCFC2"	"-"	"nonsense_mediated_decay"	1747	"opposite"	"220_ID"
"221"	"chr2"	75946245	75947144	"ENST00000603612.1_1"	"AC005034.4"	"+"	"lncRNA"	"chr2"	75937907	75955249	"ENST00000652200.1_1"	"AC005034.6"	"+"	"lncRNA"	899	"same"	"221_ID"
"222"	"chr2"	75897114	75897580	"ENST00000604219.1_1"	"AC005034.5"	"+"	"lncRNA"	"chr2"	75889833	75938111	"ENST00000541687.5_4"	"GCFC2"	"-"	"protein_coding"	466	"opposite"	"222_ID"
"223"	"chr2"	75897114	75897580	"ENST00000604219.1_1"	"AC005034.5"	"+"	"lncRNA"	"chr2"	75873919	75917885	"ENST00000358788.10_1"	"MRPL19"	"+"	"protein_coding"	466	"same"	"223_ID"
"224"	"chr2"	74728843	74729492	"ENST00000606287.1_1"	"AC005041.3"	"+"	"lncRNA"	"chr2"	74724643	74730443	"ENST00000460508.3_3"	"LBX2"	"-"	"protein_coding"	649	"opposite"	"224_ID"
"225"	"chr2"	74642548	74643908	"ENST00000666479.1_3"	"AC005041.4"	"+"	"lncRNA"	"chr2"	74620962	74648789	"ENST00000517883.2_5"	"AC005041.1"	"-"	"nonsense_mediated_decay"	1360	"opposite"	"225_ID"
"226"	"chr2"	74642548	74643908	"ENST00000666479.1_3"	"AC005041.4"	"+"	"lncRNA"	"chr2"	74641302	74648687	"ENST00000612891.4_3"	"C2orf81"	"-"	"protein_coding"	1360	"opposite"	"226_ID"
"227"	"chr7"	107582560	107583185	"ENST00000608515.1_1"	"AC005046.1"	"+"	"lncRNA"	"chr7"	107564243	107643658	"ENST00000676574.1_1"	"LAMB1"	"-"	"nonsense_mediated_decay"	625	"opposite"	"227_ID"
"228"	"chr7"	107677290	107677381	"ENST00000401266.1"	"AC005048.1"	"-"	"miRNA"	"chr7"	107663997	107770806	"ENST00000388781.8_5"	"LAMB4"	"-"	"protein_coding"	91	"same"	"228_ID"
"229"	"chr7"	106210356	106239354	"ENST00000591803.2_5"	"AC005050.1"	"-"	"lncRNA"	"chr7"	106012696	106372895	"ENST00000490856.5_3"	"AC004917.1"	"-"	"lncRNA"	29033	"same"	"229_ID"
"230"	"chr7"	106264517	106269142	"ENST00000652725.1_1"	"AC005050.2"	"+"	"lncRNA"	"chr7"	106012696	106372895	"ENST00000490856.5_3"	"AC004917.1"	"-"	"lncRNA"	4625	"opposite"	"230_ID"
"231"	"chr7"	106065723	106151990	"ENST00000651902.1_2"	"AC005050.3"	"+"	"lncRNA"	"chr7"	106012696	106372895	"ENST00000490856.5_3"	"AC004917.1"	"-"	"lncRNA"	86267	"opposite"	"231_ID"
"232"	"chr7"	104743284	104745930	"ENST00000607968.1_2"	"AC005070.3"	"-"	"lncRNA"	"chr7"	104654651	104755466	"ENST00000311117.8_3"	"KMT2E"	"+"	"protein_coding"	2646	"opposite"	"232_ID"
"233"	"chr7"	101603395	101605174	"ENST00000606640.1_1"	"AC005072.1"	"+"	"lncRNA"	"chr7"	101459183	101927250	"ENST00000437600.9_2"	"CUX1"	"+"	"protein_coding"	1779	"same"	"233_ID"
"234"	"chr7"	101796634	101797743	"ENST00000566572.1_2"	"AC005086.2"	"-"	"lncRNA"	"chr7"	101459183	101927250	"ENST00000437600.9_2"	"CUX1"	"+"	"protein_coding"	1109	"opposite"	"234_ID"
"235"	"chr7"	101881600	101881686	"ENST00000580604.1"	"AC005088.1"	"-"	"miRNA"	"chr7"	101459183	101927250	"ENST00000437600.9_2"	"CUX1"	"+"	"protein_coding"	86	"opposite"	"235_ID"
