"ENST_Nested"	"ENST_Host"	"geneChr_Nested"	"geneStart_Nested"	"geneEnd_Nested"	"SYMBOL_Nested"	"Strand_Nested"	"biotype_Nested"	"geneChr_Host"	"geneStart_Host"	"geneEnd_Host"	"SYMBOL_Host"	"Strand_Host"	"biotype_Host"	"Overlap_size"	"Strandness"	"pairid"	"Host_mouse_ortholog"	"Nested_mouse_ortholog"
"243"	"ENST00000278980.11"	"ENST00000645058.1"	"chr20"	31290500	31331273	"COMMD7"	"-"	"protein_coding"	"chr20"	31219984	31331373	"FO393400.1"	"-"	"nonsense_mediated_decay"	40773	"same"	"6691_ID"	"Commd7"	"Commd7"
"245"	"ENST00000279249.3"	"ENST00000649896.1"	"chr11"	65082336	65089888	"CDC42EP2"	"+"	"protein_coding"	"chr11"	65029398	65094014	"AP000944.5"	"+"	"nonsense_mediated_decay"	7552	"same"	"6598_ID"	"Pola2"	"Cdc42ep2"
"246"	"ENST00000279791.1"	"ENST00000641310.1"	"chr11"	56229944	56230877	"OR5M9"	"-"	"protein_coding"	"chr11"	56226696	56240828	"AP002512.3"	"-"	"protein_coding"	933	"same"	"9461_ID"	"Olfr1034"	"Olfr1036"
"247"	"ENST00000279791.1"	"ENST00000641310.1"	"chr11"	56229944	56230877	"OR5M9"	"-"	"protein_coding"	"chr11"	56226696	56240828	"AP002512.3"	"-"	"protein_coding"	933	"same"	"9461_ID"	"Olfr1034"	"Olfr1034"
"248"	"ENST00000279791.1"	"ENST00000641310.1"	"chr11"	56229944	56230877	"OR5M9"	"-"	"protein_coding"	"chr11"	56226696	56240828	"AP002512.3"	"-"	"protein_coding"	933	"same"	"9461_ID"	"Olfr1036"	"Olfr1036"
"249"	"ENST00000279791.1"	"ENST00000641310.1"	"chr11"	56229944	56230877	"OR5M9"	"-"	"protein_coding"	"chr11"	56226696	56240828	"AP002512.3"	"-"	"protein_coding"	933	"same"	"9461_ID"	"Olfr1036"	"Olfr1034"
"250"	"ENST00000280357.12"	"ENST00000525987.5"	"chr11"	112013982	112034817	"IL18"	"-"	"protein_coding"	"chr11"	111957626	112064528	"AP002884.2"	"+"	"retained_intron"	20844	"opposite"	"7349_ID"	"Sdhd"	"Il18"
"251"	"ENST00000280358.5"	"ENST00000525987.5"	"chr11"	112038094	112043279	"TEX12"	"+"	"protein_coding"	"chr11"	111957626	112064528	"AP002884.2"	"+"	"retained_intron"	5185	"same"	"12652_ID"	"Sdhd"	"Tex12"
"255"	"ENST00000281030.2"	"ENST00000528251.1"	"chr11"	77774906	77779397	"THRSP"	"+"	"protein_coding"	"chr11"	77728016	77790890	"NDUFC2-KCTD14"	"-"	"protein_coding"	4491	"opposite"	"12685_ID"	"Ndufc2"	"Thrsp"
"256"	"ENST00000281031.5"	"ENST00000530054.1"	"chr11"	77779342	77790908	"NDUFC2"	"-"	"protein_coding"	"chr11"	77728091	77790911	"NDUFC2-KCTD14"	"-"	"protein_coding"	11566	"same"	"9247_ID"	"Ndufc2"	"Ndufc2"
"261"	"ENST00000283752.10"	"ENST00000489748.5"	"chr18"	61322430	61329127	"SERPINB3"	"-"	"protein_coding"	"chr18"	61314812	61387314	"SERPINB11"	"+"	"protein_coding"	6697	"opposite"	"12040_ID"	"Serpinb11"	"Serpinb3d"
"262"	"ENST00000283752.10"	"ENST00000489748.5"	"chr18"	61322430	61329127	"SERPINB3"	"-"	"protein_coding"	"chr18"	61314812	61387314	"SERPINB11"	"+"	"protein_coding"	6697	"opposite"	"12040_ID"	"Serpinb11"	"Serpinb3c"
"263"	"ENST00000283752.10"	"ENST00000489748.5"	"chr18"	61322430	61329127	"SERPINB3"	"-"	"protein_coding"	"chr18"	61314812	61387314	"SERPINB11"	"+"	"protein_coding"	6697	"opposite"	"12040_ID"	"Serpinb11"	"Serpinb3b"
"264"	"ENST00000283752.10"	"ENST00000489748.5"	"chr18"	61322430	61329127	"SERPINB3"	"-"	"protein_coding"	"chr18"	61314812	61387314	"SERPINB11"	"+"	"protein_coding"	6697	"opposite"	"12040_ID"	"Serpinb11"	"Serpinb3a"
"268"	"ENST00000284629.7"	"ENST00000673785.1"	"chr7"	117003275	117067547	"ASZ1"	"-"	"protein_coding"	"chr7"	116927173	117188729	"CFTR"	"+"	"protein_coding"	64902	"opposite"	"6360_ID"	"Cftr"	"Asz1"
"269"	"ENST00000285298.9"	"ENST00000446692.5"	"chr7"	56019569	56024193	"MRPS17"	"+"	"protein_coding"	"chr7"	56019485	56052570	"NIPSNAP2"	"+"	"protein_coding"	4624	"same"	"9170_ID"	"Nipsnap2"	"Mrps17"
"271"	"ENST00000287042.5"	"ENST00000517832.1"	"chr8"	99439185	99445081	"KCNS2"	"+"	"protein_coding"	"chr8"	99413630	99539154	"STK3"	"-"	"processed_transcript"	5896	"opposite"	"7430_ID"	"Stk3"	"Kcns2"
"275"	"ENST00000287814.5"	"ENST00000621198.5"	"chr3"	12194567	12200412	"TIMP4"	"-"	"protein_coding"	"chr3"	12045861	12233532	"SYN2"	"+"	"protein_coding"	5845	"opposite"	"12701_ID"	"Syn2"	"Timp4"
"277"	"ENST00000288022.2"	"ENST00000562595.5"	"chr16"	69360815	69364491	"PDF"	"-"	"protein_coding"	"chr16"	69355893	69373396	"COG8"	"-"	"protein_coding"	3676	"same"	"9528_ID"	"Cog8"	"Pdf"
"285"	"ENST00000290155.8"	"ENST00000674123.1"	"chr21"	33971663	33984687	"CFAP298"	"-"	"protein_coding"	"chr21"	33904722	33984920	"CFAP298-TCP10L"	"-"	"nonsense_mediated_decay"	20525	"same"	"6626_ID"	"Cfap298"	"Cfap298"
"286"	"ENST00000290244.9"	"ENST00000429238.2"	"chr21"	34961691	35014224	"CRYZL1"	"-"	"protein_coding"	"chr21"	34956992	35303911	"AP000311.1"	"-"	"protein_coding"	54586	"same"	"6717_ID"	"Atp5o"	"Cryzl1"
"297"	"ENST00000292476.10"	"ENST00000430982.1"	"chr7"	99036565	99054996	"CPSF4"	"+"	"protein_coding"	"chr7"	99031002	99063786	"PTCD1"	"-"	"protein_coding"	18452	"opposite"	"6702_ID"	"Ptcd1"	"Cpsf4"
"298"	"ENST00000292476.10"	"ENST00000413834.5"	"chr7"	99036565	99054996	"CPSF4"	"+"	"protein_coding"	"chr7"	99017371	99063787	"ATP5MF-PTCD1"	"-"	"protein_coding"	18452	"opposite"	"6703_ID"	"Ptcd1"	"Cpsf4"
"299"	"ENST00000292896.3"	"ENST00000380259.7"	"chr11"	5289574	5526882	"HBE1"	"-"	"protein_coding"	"chr11"	5275621	5699664	"AC104389.5"	"-"	"nonsense_mediated_decay"	237308	"same"	"7218_ID"	"Trim12c"	"Hbb-y"
"300"	"ENST00000292896.3"	"ENST00000380259.7"	"chr11"	5289574	5526882	"HBE1"	"-"	"protein_coding"	"chr11"	5275621	5699664	"AC104389.5"	"-"	"nonsense_mediated_decay"	237308	"same"	"7218_ID"	"Trim5"	"Hbb-y"
"301"	"ENST00000292896.3"	"ENST00000380259.7"	"chr11"	5289574	5526882	"HBE1"	"-"	"protein_coding"	"chr11"	5275621	5699664	"AC104389.5"	"-"	"nonsense_mediated_decay"	237308	"same"	"7218_ID"	"Trim30d"	"Hbb-y"
"302"	"ENST00000292896.3"	"ENST00000380259.7"	"chr11"	5289574	5526882	"HBE1"	"-"	"protein_coding"	"chr11"	5275621	5699664	"AC104389.5"	"-"	"nonsense_mediated_decay"	237308	"same"	"7218_ID"	"Trim12a"	"Hbb-y"
"303"	"ENST00000292896.3"	"ENST00000380259.7"	"chr11"	5289574	5526882	"HBE1"	"-"	"protein_coding"	"chr11"	5275621	5699664	"AC104389.5"	"-"	"nonsense_mediated_decay"	237308	"same"	"7218_ID"	"Trim30a"	"Hbb-y"
"304"	"ENST00000292896.3"	"ENST00000380259.7"	"chr11"	5289574	5526882	"HBE1"	"-"	"protein_coding"	"chr11"	5275621	5699664	"AC104389.5"	"-"	"nonsense_mediated_decay"	237308	"same"	"7218_ID"	"Trim30c"	"Hbb-y"
"305"	"ENST00000292896.3"	"ENST00000380259.7"	"chr11"	5289574	5526882	"HBE1"	"-"	"protein_coding"	"chr11"	5275621	5699664	"AC104389.5"	"-"	"nonsense_mediated_decay"	237308	"same"	"7218_ID"	"Trim30b"	"Hbb-y"
"308"	"ENST00000293978.12"	"ENST00000431515.6"	"chr16"	3019270	3023483	"PAQR4"	"+"	"protein_coding"	"chr16"	3018102	3030417	"PKMYT1"	"-"	"protein_coding"	4215	"opposite"	"9500_ID"	"Pkmyt1"	"Paqr4"
"309"	"ENST00000294117.6"	"ENST00000405837.5"	"chr11"	62475147	62476673	"GNG3"	"+"	"protein_coding"	"chr11"	62457746	62476986	"BSCL2"	"-"	"protein_coding"	1526	"opposite"	"7141_ID"	"Bscl2"	"Gng3"
"310"	"ENST00000294117.6"	"ENST00000403734.2"	"chr11"	62475147	62476673	"GNG3"	"+"	"protein_coding"	"chr11"	62457746	62494856	"HNRNPUL2-BSCL2"	"-"	"nonsense_mediated_decay"	1526	"opposite"	"7142_ID"	"Hnrnpul2"	"Gng3"
"311"	"ENST00000294117.6"	"ENST00000403734.2"	"chr11"	62475147	62476673	"GNG3"	"+"	"protein_coding"	"chr11"	62457746	62494856	"HNRNPUL2-BSCL2"	"-"	"nonsense_mediated_decay"	1526	"opposite"	"7142_ID"	"Gm50139"	"Gng3"
"316"	"ENST00000294954.12"	"ENST00000402114.6"	"chr2"	48913912	48982863	"LHCGR"	"-"	"protein_coding"	"chr2"	48757063	49003656	"STON1-GTF2A1L"	"+"	"protein_coding"	68957	"opposite"	"7521_ID"	"Ston1"	"Lhcgr"
"317"	"ENST00000295148.9"	"ENST00000453731.1"	"chr2"	24252216	24270261	"WDCP"	"-"	"protein_coding"	"chr2"	24247022	24286191	"MFSD2B"	"+"	"nonsense_mediated_decay"	20229	"opposite"	"12906_ID"	"Mfsd2b"	"Wdcp"
"318"	"ENST00000295304.5"	"ENST00000406625.6"	"chr2"	53994940	54002333	"CHAC2"	"+"	"protein_coding"	"chr2"	53897429	54087297	"ASB3"	"-"	"protein_coding"	7393	"opposite"	"6634_ID"	"Asb3"	"Chac2"
"323"	"ENST00000295927.4"	"ENST00000362010.7"	"chr3"	157154638	157161422	"PTX3"	"+"	"protein_coding"	"chr3"	156977530	157221205	"VEPH1"	"-"	"protein_coding"	6784	"opposite"	"9684_ID"	"Veph1"	"Ptx3"
"325"	"ENST00000296140.4"	"ENST00000357422.2"	"chr3"	46243201	46249804	"CCR1"	"-"	"protein_coding"	"chr3"	46205095	46308106	"CCR3"	"+"	"protein_coding"	6603	"opposite"	"6588_ID"	"Ccr3"	"Ccr1l1"
"326"	"ENST00000296140.4"	"ENST00000357422.2"	"chr3"	46243201	46249804	"CCR1"	"-"	"protein_coding"	"chr3"	46205095	46308106	"CCR3"	"+"	"protein_coding"	6603	"opposite"	"6588_ID"	"Ccr3"	"Ccr1"
"327"	"ENST00000296238.4"	"ENST00000402825.7"	"chr3"	183977000	183979341	"CAMK2N2"	"-"	"protein_coding"	"chr3"	183967482	184010819	"EEF1AKMT4-ECE2"	"+"	"protein_coding"	2341	"opposite"	"6546_ID"	"Gm49333"	"Camk2n2"
"328"	"ENST00000296238.4"	"ENST00000402825.7"	"chr3"	183977000	183979341	"CAMK2N2"	"-"	"protein_coding"	"chr3"	183967482	184010819	"EEF1AKMT4-ECE2"	"+"	"protein_coding"	2341	"opposite"	"6546_ID"	"Ece2"	"Camk2n2"
"329"	"ENST00000296575.8"	"ENST00000649263.1"	"chr4"	145567307	145666423	"HHIP"	"+"	"protein_coding"	"chr4"	145131853	146019326	"AC098588.2"	"-"	"nonsense_mediated_decay"	99116	"opposite"	"7232_ID"	"Anapc10"	"Hhip"
"332"	"ENST00000296641.5"	"ENST00000274364.11"	"chr5"	75911306	75919228	"F2RL2"	"-"	"protein_coding"	"chr5"	75699109	76003957	"IQGAP2"	"+"	"protein_coding"	7932	"opposite"	"6951_ID"	"Iqgap2"	"F2rl2"
"333"	"ENST00000296955.12"	"ENST00000467125.1"	"chr6"	117803819	117891021	"DCBLD1"	"+"	"protein_coding"	"chr6"	117639373	117894734	"AL132671.2"	"-"	"protein_coding"	116042	"opposite"	"6772_ID"	"Gopc"	"Dcbld1"
"334"	"ENST00000297203.3"	"ENST00000333190.5"	"chr7"	88423419	88425051	"TEX47"	"-"	"protein_coding"	"chr7"	88389013	88967842	"ZNF804B"	"+"	"protein_coding"	1632	"opposite"	"12659_ID"	"Zfp804b"	"Tex47"
"336"	"ENST00000297283.4"	"ENST00000448521.6"	"chr7"	44102325	44105166	"PGAM2"	"-"	"protein_coding"	"chr7"	44084300	44109055	"DBNL"	"+"	"protein_coding"	2841	"opposite"	"9540_ID"	"Dbnl"	"Pgam2"
"337"	"ENST00000297324.5"	"ENST00000631382.1"	"chr8"	13424377	13425797	"C8orf48"	"+"	"protein_coding"	"chr8"	13357213	13462115	"DLC1"	"-"	"protein_coding"	1420	"opposite"	"6523_ID"	"Dlc1"	"AI429214"
"339"	"ENST00000297579.9"	"ENST00000649416.1"	"chr8"	104426941	104455681	"DCAF13"	"+"	"protein_coding"	"chr8"	104410885	104514123	"AC012213.5"	"-"	"protein_coding"	28740	"opposite"	"6770_ID"	"Slc25a32"	"Dcaf13"
"340"	"ENST00000297875.7"	"ENST00000465127.1"	"chrX"	37865805	37988069	"SYTL5"	"+"	"protein_coding"	"chrX"	37208582	38546928	"AF241726.1"	"+"	"protein_coding"	122267	"same"	"12590_ID"	"Tspan7"	"Sytl5"
"342"	"ENST00000297994.4"	"ENST00000540557.1"	"chr9"	37753801	37778969	"TRMT10B"	"+"	"protein_coding"	"chr9"	37588409	38068684	"AL138752.2"	"-"	"nonsense_mediated_decay"	25170	"opposite"	"12788_ID"	"Shb"	"Trmt10b"
"343"	"ENST00000298130.5"	"ENST00000551935.5"	"chr14"	34901993	34931446	"SPTSSA"	"-"	"protein_coding"	"chr14"	34454586	34931980	"EGLN3"	"-"	"processed_transcript"	29453	"same"	"12540_ID"	"Egln3"	"Sptssa"
"347"	"ENST00000299575.5"	"ENST00000640345.1"	"chr16"	81069446	81080955	"ATMIN"	"+"	"protein_coding"	"chr16"	81055920	81129889	"AC092718.8"	"-"	"protein_coding"	11509	"opposite"	"6364_ID"	"Gcsh"	"Atmin"
"352"	"ENST00000300778.4"	"ENST00000380259.7"	"chr11"	5443340	5444436	"OR51Q1"	"+"	"protein_coding"	"chr11"	5275621	5699664	"AC104389.5"	"-"	"nonsense_mediated_decay"	1096	"opposite"	"9431_ID"	"Trim12c"	"Olfr638"
"353"	"ENST00000300778.4"	"ENST00000380259.7"	"chr11"	5443340	5444436	"OR51Q1"	"+"	"protein_coding"	"chr11"	5275621	5699664	"AC104389.5"	"-"	"nonsense_mediated_decay"	1096	"opposite"	"9431_ID"	"Trim12c"	"Olfr635"
"354"	"ENST00000300778.4"	"ENST00000380259.7"	"chr11"	5443340	5444436	"OR51Q1"	"+"	"protein_coding"	"chr11"	5275621	5699664	"AC104389.5"	"-"	"nonsense_mediated_decay"	1096	"opposite"	"9431_ID"	"Trim30c"	"Olfr638"
"355"	"ENST00000300778.4"	"ENST00000380259.7"	"chr11"	5443340	5444436	"OR51Q1"	"+"	"protein_coding"	"chr11"	5275621	5699664	"AC104389.5"	"-"	"nonsense_mediated_decay"	1096	"opposite"	"9431_ID"	"Trim30c"	"Olfr635"
"356"	"ENST00000300778.4"	"ENST00000380259.7"	"chr11"	5443340	5444436	"OR51Q1"	"+"	"protein_coding"	"chr11"	5275621	5699664	"AC104389.5"	"-"	"nonsense_mediated_decay"	1096	"opposite"	"9431_ID"	"Trim5"	"Olfr638"
"357"	"ENST00000300778.4"	"ENST00000380259.7"	"chr11"	5443340	5444436	"OR51Q1"	"+"	"protein_coding"	"chr11"	5275621	5699664	"AC104389.5"	"-"	"nonsense_mediated_decay"	1096	"opposite"	"9431_ID"	"Trim5"	"Olfr635"
"358"	"ENST00000300778.4"	"ENST00000380259.7"	"chr11"	5443340	5444436	"OR51Q1"	"+"	"protein_coding"	"chr11"	5275621	5699664	"AC104389.5"	"-"	"nonsense_mediated_decay"	1096	"opposite"	"9431_ID"	"Trim12a"	"Olfr638"
"359"	"ENST00000300778.4"	"ENST00000380259.7"	"chr11"	5443340	5444436	"OR51Q1"	"+"	"protein_coding"	"chr11"	5275621	5699664	"AC104389.5"	"-"	"nonsense_mediated_decay"	1096	"opposite"	"9431_ID"	"Trim12a"	"Olfr635"
"360"	"ENST00000300778.4"	"ENST00000380259.7"	"chr11"	5443340	5444436	"OR51Q1"	"+"	"protein_coding"	"chr11"	5275621	5699664	"AC104389.5"	"-"	"nonsense_mediated_decay"	1096	"opposite"	"9431_ID"	"Trim30d"	"Olfr638"
"361"	"ENST00000300778.4"	"ENST00000380259.7"	"chr11"	5443340	5444436	"OR51Q1"	"+"	"protein_coding"	"chr11"	5275621	5699664	"AC104389.5"	"-"	"nonsense_mediated_decay"	1096	"opposite"	"9431_ID"	"Trim30d"	"Olfr635"
"364"	"ENST00000300778.4"	"ENST00000292896.3"	"chr11"	5443340	5444436	"OR51Q1"	"+"	"protein_coding"	"chr11"	5289574	5526882	"HBE1"	"-"	"protein_coding"	1096	"opposite"	"9432_ID"	"Hbb-y"	"Olfr638"
"365"	"ENST00000300778.4"	"ENST00000292896.3"	"chr11"	5443340	5444436	"OR51Q1"	"+"	"protein_coding"	"chr11"	5289574	5526882	"HBE1"	"-"	"protein_coding"	1096	"opposite"	"9432_ID"	"Hbb-y"	"Olfr635"
"366"	"ENST00000300778.4"	"ENST00000380259.7"	"chr11"	5443340	5444436	"OR51Q1"	"+"	"protein_coding"	"chr11"	5275621	5699664	"AC104389.5"	"-"	"nonsense_mediated_decay"	1096	"opposite"	"9431_ID"	"Trim30b"	"Olfr638"
"367"	"ENST00000300778.4"	"ENST00000380259.7"	"chr11"	5443340	5444436	"OR51Q1"	"+"	"protein_coding"	"chr11"	5275621	5699664	"AC104389.5"	"-"	"nonsense_mediated_decay"	1096	"opposite"	"9431_ID"	"Trim30b"	"Olfr635"
"370"	"ENST00000300778.4"	"ENST00000380259.7"	"chr11"	5443340	5444436	"OR51Q1"	"+"	"protein_coding"	"chr11"	5275621	5699664	"AC104389.5"	"-"	"nonsense_mediated_decay"	1096	"opposite"	"9431_ID"	"Trim30a"	"Olfr638"
"371"	"ENST00000300778.4"	"ENST00000380259.7"	"chr11"	5443340	5444436	"OR51Q1"	"+"	"protein_coding"	"chr11"	5275621	5699664	"AC104389.5"	"-"	"nonsense_mediated_decay"	1096	"opposite"	"9431_ID"	"Trim30a"	"Olfr635"
"372"	"ENST00000301032.8"	"ENST00000481916.6"	"chr17"	26873725	26879649	"UNC119"	"-"	"protein_coding"	"chr17"	26782769	26941201	"AC005726.1"	"-"	"nonsense_mediated_decay"	5924	"same"	"12846_ID"	"Spag5"	"Unc119"
"376"	"ENST00000301522.3"	"ENST00000589765.1"	"chr19"	12907636	12912614	"PRDX2"	"-"	"protein_coding"	"chr19"	12884972	12983554	"HOOK2"	"-"	"processed_transcript"	4981	"same"	"9624_ID"	"Hook2"	"Prdx2"
"381"	"ENST00000302188.8"	"ENST00000448427.1"	"chr2"	28004245	28113254	"RBKS"	"-"	"protein_coding"	"chr2"	27994605	28210954	"MRPL33"	"+"	"nonsense_mediated_decay"	109303	"opposite"	"9712_ID"	"Mrpl33"	"Rbks"
"382"	"ENST00000302259.5"	"ENST00000302251.9"	"chr11"	103907367	103909924	"DDI1"	"+"	"protein_coding"	"chr11"	103777916	104035107	"PDGFD"	"-"	"protein_coding"	2557	"opposite"	"6778_ID"	"Pdgfd"	"Ddi1"
"383"	"ENST00000302472.4"	"ENST00000636863.1"	"chr5"	40680016	40693837	"PTGER4"	"+"	"protein_coding"	"chr5"	40512434	40756010	"TTC33"	"-"	"protein_coding"	13821	"opposite"	"9674_ID"	"Ttc33"	"Ptger4"
"384"	"ENST00000302548.5"	"ENST00000378168.8"	"chrX"	41583433	41589383	"GPR82"	"+"	"protein_coding"	"chrX"	41374186	41782770	"CASK"	"-"	"protein_coding"	5950	"opposite"	"7167_ID"	"Cask"	"Gpr82"
"386"	"ENST00000302632.4"	"ENST00000474524.5"	"chr3"	151054630	151102541	"P2RY12"	"-"	"protein_coding"	"chr3"	150804675	151154860	"MED12L"	"+"	"protein_coding"	47911	"opposite"	"9488_ID"	"Med12l"	"P2ry12"
"387"	"ENST00000302754.6"	"ENST00000589765.1"	"chr19"	12902299	12904129	"JUNB"	"+"	"protein_coding"	"chr19"	12884972	12983554	"HOOK2"	"-"	"processed_transcript"	1830	"opposite"	"7392_ID"	"Hook2"	"Junb"
"388"	"ENST00000302938.4"	"ENST00000521769.5"	"chr5"	156588856	156593275	"FAM71B"	"-"	"protein_coding"	"chr5"	156569943	156649973	"ITK"	"+"	"protein_coding"	4419	"opposite"	"6994_ID"	"Itk"	"Fam71b"
"390"	"ENST00000303204.9"	"ENST00000503473.5"	"chr5"	176730799	176733950	"PRELID1"	"+"	"protein_coding"	"chr5"	176728461	176738871	"MXD3"	"-"	"retained_intron"	3151	"opposite"	"9626_ID"	"Mxd3"	"Prelid1"
"391"	"ENST00000303277.6"	"ENST00000458173.4"	"chr4"	1717678	1723085	"TMEM129"	"-"	"protein_coding"	"chr4"	1714617	1729946	"TACC3"	"+"	"protein_coding"	5407	"opposite"	"12714_ID"	"Tacc3"	"Tmem129"
"393"	"ENST00000303596.3"	"ENST00000562787.6"	"chr16"	67876222	67878098	"THAP11"	"+"	"protein_coding"	"chr16"	67862059	67881596	"CENPT"	"-"	"protein_coding"	1876	"opposite"	"12674_ID"	"Cenpt"	"Thap11"
"396"	"ENST00000304061.8"	"ENST00000553558.6"	"chr14"	73957637	73960098	"RIOX1"	"+"	"protein_coding"	"chr14"	73945188	74025651	"HEATR4"	"-"	"protein_coding"	2461	"opposite"	"9752_ID"	"Heatr4"	"Riox1"
"399"	"ENST00000304298.4"	"ENST00000527950.5"	"chr11"	111783457	111784817	"HSPB2"	"+"	"protein_coding"	"chr11"	111779346	111794446	"CRYAB"	"-"	"protein_coding"	1360	"opposite"	"7311_ID"	"Cryab"	"Hspb2"
"401"	"ENST00000304374.4"	"ENST00000503803.5"	"chr4"	9783257	9785633	"DRD5"	"+"	"protein_coding"	"chr4"	9781430	9889266	"SLC2A9"	"-"	"processed_transcript"	2376	"opposite"	"6847_ID"	"Slc2a9"	"Drd5"
"402"	"ENST00000304402.6"	"ENST00000297135.9"	"chr7"	107110501	107116129	"GPR22"	"+"	"protein_coding"	"chr7"	106841816	107204365	"COG5"	"-"	"protein_coding"	5667	"opposite"	"7162_ID"	"Cog5"	"Gpr22"
"403"	"ENST00000304519.10"	"ENST00000329335.3"	"chr8"	10530137	10558100	"C8orf74"	"+"	"protein_coding"	"chr8"	10478605	10569697	"RP1L1"	"-"	"processed_transcript"	27963	"opposite"	"6524_ID"	"Rp1l1"	"4930578I06Rik"
"405"	"ENST00000304735.4"	"ENST00000575334.5"	"chr16"	4421848	4433539	"VASN"	"+"	"protein_coding"	"chr16"	4390251	4470495	"CORO7-PAM16"	"-"	"nonsense_mediated_decay"	11691	"opposite"	"12887_ID"	"Coro7"	"Vasn"
"406"	"ENST00000304735.4"	"ENST00000571227.5"	"chr16"	4421848	4433539	"VASN"	"+"	"protein_coding"	"chr16"	4404544	4466628	"CORO7"	"-"	"nonsense_mediated_decay"	11691	"opposite"	"12888_ID"	"Coro7"	"Vasn"
"411"	"ENST00000306324.4"	"ENST00000432796.2"	"chr2"	177016277	177017954	"HOXD4"	"+"	"protein_coding"	"chr2"	177001684	177034143	"HOXD3"	"+"	"protein_coding"	1677	"same"	"7282_ID"	"Hoxd3"	"Gm28230"
"412"	"ENST00000306324.4"	"ENST00000432796.2"	"chr2"	177016277	177017954	"HOXD4"	"+"	"protein_coding"	"chr2"	177001684	177034143	"HOXD3"	"+"	"protein_coding"	1677	"same"	"7282_ID"	"Hoxd3"	"Hoxd4"
"413"	"ENST00000306336.6"	"ENST00000459775.5"	"chr2"	85832376	85839189	"C2orf68"	"-"	"protein_coding"	"chr2"	85829978	85876403	"USP39"	"+"	"processed_transcript"	6813	"opposite"	"6509_ID"	"Usp39"	"0610030E20Rik"
"417"	"ENST00000306602.3"	"ENST00000341029.9"	"chr4"	76942270	76944650	"CXCL10"	"-"	"protein_coding"	"chr4"	76932352	77033955	"ART3"	"+"	"protein_coding"	2380	"opposite"	"6743_ID"	"Art3"	"Cxcl10"
"423"	"ENST00000307144.6"	"ENST00000288235.9"	"chr15"	59499041	59500787	"LDHAL6B"	"+"	"protein_coding"	"chr15"	59424632	59665070	"MYO1E"	"-"	"protein_coding"	1746	"opposite"	"7518_ID"	"Myo1e"	"Ldhal6b"
"424"	"ENST00000307221.5"	"ENST00000357137.9"	"chr22"	41255552	41258117	"DNAJB7"	"-"	"protein_coding"	"chr22"	41253151	41328819	"XPNPEP3"	"+"	"protein_coding"	2565	"opposite"	"6826_ID"	"Xpnpep3"	"Dnajb7"
"427"	"ENST00000308018.9"	"ENST00000599996.1"	"chr19"	39421583	39423808	"MRPS12"	"+"	"protein_coding"	"chr19"	39406043	39440495	"AC011455.2"	"-"	"protein_coding"	2225	"opposite"	"9168_ID"	"Sars2"	"Mrps12"
"430"	"ENST00000308641.6"	"ENST00000304685.8"	"chr1"	183615409	183622451	"APOBEC4"	"-"	"protein_coding"	"chr1"	183605219	183897665	"RGL1"	"+"	"protein_coding"	7042	"opposite"	"6322_ID"	"Rgl1"	"Apobec4"
"431"	"ENST00000308906.6"	"ENST00000336866.7"	"chr20"	62714732	62715712	"LKAAEAR1"	"-"	"protein_coding"	"chr20"	62711434	62731986	"OPRL1"	"+"	"protein_coding"	980	"opposite"	"7828_ID"	"Oprl1"	"Lkaaear1"
"432"	"ENST00000309048.8"	"ENST00000400900.6"	"chr1"	10490489	10502865	"CENPS"	"+"	"protein_coding"	"chr1"	10490158	10512210	"CENPS-CORT"	"+"	"protein_coding"	12376	"same"	"6620_ID"	"Cenps"	"Cenps"
"433"	"ENST00000309170.8"	"ENST00000474524.5"	"chr3"	150929904	150996330	"P2RY14"	"-"	"protein_coding"	"chr3"	150804675	151154860	"MED12L"	"+"	"protein_coding"	66426	"opposite"	"9490_ID"	"Med12l"	"P2ry14"
"434"	"ENST00000309180.6"	"ENST00000474524.5"	"chr3"	150915618	150921003	"GPR171"	"-"	"protein_coding"	"chr3"	150804675	151154860	"MED12L"	"+"	"protein_coding"	5385	"opposite"	"7158_ID"	"Med12l"	"Gpr171"
"440"	"ENST00000309602.5"	"ENST00000529047.6"	"chr11"	66624534	66627946	"LRFN4"	"+"	"protein_coding"	"chr11"	66615887	66725854	"PC"	"-"	"protein_coding"	3829	"opposite"	"7850_ID"	"Pcx"	"Lrfn4"
"445"	"ENST00000310331.3"	"ENST00000602657.1"	"chr5"	139927246	139929161	"EIF4EBP3"	"+"	"protein_coding"	"chr5"	139916924	139930713	"SRA1"	"-"	"protein_coding"	1915	"opposite"	"6889_ID"	"Sra1"	"Eif4ebp3"
"447"	"ENST00000310392.5"	"ENST00000498289.5"	"chr1"	169761669	169764048	"METTL18"	"-"	"protein_coding"	"chr1"	169631244	169822226	"C1orf112"	"+"	"processed_transcript"	2435	"opposite"	"7943_ID"	"BC055324"	"Mettl18"
"451"	"ENST00000310981.6"	"ENST00000322313.9"	"chr2"	128459070	128462816	"SFT2D3"	"+"	"protein_coding"	"chr2"	128458600	128568745	"WDR33"	"-"	"protein_coding"	3746	"opposite"	"12047_ID"	"Wdr33"	"Sft2d3"
